Archivo,Tamano_Bytes,Parser,Promedio_ms,StdDev_ms,Min_ms,Max_ms,Ops_por_Sec
docker-compose-01.yml,84,Lark LALR(1),0.15415,0.08519,0.1218,0.6691,6487.27
docker-compose-01.yml,84,Recursive Descent,0.15301,0.02316,0.1296,0.229,6535.35
docker-compose-01.yml,84,PyYAML AST,0.72844,0.24737,0.5901,2.1245,1372.8
docker-compose-02.yml,331,Lark LALR(1),0.32161,0.41925,0.1439,2.9008,3109.36
docker-compose-02.yml,331,Recursive Descent,0.26092,0.16182,0.1535,0.9755,3832.53
docker-compose-02.yml,331,PyYAML AST,1.8748,0.42997,1.466,3.4782,533.39
docker-compose-03.yml,656,Lark LALR(1),0.18849,0.04659,0.1491,0.4661,5305.26
docker-compose-03.yml,656,Recursive Descent,0.23326,0.04782,0.1785,0.4087,4287.1
docker-compose-03.yml,656,PyYAML AST,2.86727,0.44768,2.305,4.1088,348.76
docker-compose-04.yml,505,Lark LALR(1),0.18083,0.08143,0.144,0.6796,5529.93
docker-compose-04.yml,505,Recursive Descent,0.21514,0.03135,0.1745,0.295,4648.14
docker-compose-04.yml,505,PyYAML AST,2.52452,0.5102,2.0752,4.4757,396.12
docker-compose-05.yml,503,Lark LALR(1),0.18627,0.06375,0.1466,0.5096,5368.61
docker-compose-05.yml,503,Recursive Descent,0.18994,0.02365,0.1695,0.2822,5264.77
docker-compose-05.yml,503,PyYAML AST,2.91117,0.83623,2.1059,6.2014,343.5
docker-compose-06.yml,766,Lark LALR(1),0.21693,0.20038,0.1565,1.5919,4609.78
docker-compose-06.yml,766,Recursive Descent,0.26845,0.2006,0.1886,1.6255,3725.06
docker-compose-06.yml,766,PyYAML AST,3.67759,0.43539,3.1244,4.8826,271.92
docker-compose-07.yml,804,Lark LALR(1),0.18474,0.03247,0.1583,0.2857,5413.07
docker-compose-07.yml,804,Recursive Descent,0.23754,0.07629,0.1868,0.6672,4209.78
docker-compose-07.yml,804,PyYAML AST,2.99986,0.4447,2.602,4.3438,333.35
docker-compose-08.yml,625,Lark LALR(1),0.23502,0.17268,0.1713,1.3785,4255.03
docker-compose-08.yml,625,Recursive Descent,0.30756,0.2138,0.1957,1.4622,3251.36
docker-compose-08.yml,625,PyYAML AST,3.08618,0.57672,2.5709,5.2417,324.03
docker-compose-09.yml,809,Lark LALR(1),0.22647,0.17088,0.1591,1.3664,4415.67
docker-compose-09.yml,809,Recursive Descent,0.22089,0.06062,0.1898,0.5318,4527.06
docker-compose-09.yml,809,PyYAML AST,3.28781,0.50754,2.7859,4.8893,304.15
docker-compose-10.yml,970,Lark LALR(1),0.17085,0.02255,0.1582,0.2527,5853.02
docker-compose-10.yml,970,Recursive Descent,0.24418,0.09633,0.1874,0.8217,4095.27
docker-compose-10.yml,970,PyYAML AST,3.42043,0.45266,2.9084,4.7379,292.36
